Time,V_Current,U_Current,SBG EKF Velocity N,SBG EKF Velocity E,SBG EKF Velocity N Acc,SBG EKF Velocity E Acc,SBG EKF Latitude,SBG EKF Longitude,SBG Heading2,OD19_TRUE_WIND_SPEED,OD19_TRUE_WIND_DIRECTION,ADCP_DC3_V2,ADCP_DC4_V2
1474114056.9997702,0.007415526207030139,-0.3419944480024247,8.11352422040877,14.114682077434535,0.09790243230424069,0.09819414049479676,32.71172555502085,-117.82110763280434,60.25,3.5888712,292.62487999999996,16.46578538102644,16.378304821150856
1474114057.9997692,0.007416829427013909,-0.34201295606492493,7.946427280016673,14.137145519998175,0.09788999777188755,0.09818219117715979,32.711762919737275,-117.82102987044846,60.19,3.522279,295.14014,16.321928460342146,16.555209953343702
1474114058.9997683,0.00741826281188515,-0.34202750449631864,7.743788173372972,14.190884251987583,0.09792281856433044,0.09821632277353741,32.711799212266754,-117.82095160392561,60.14,3.3512142,295.60654,16.436625194401245,16.483281493001556
1474114059.9997673,0.007419733295384316,-0.34204021020176206,7.6829158870465655,14.251513206754836,0.09797738711487265,0.09827067406375894,32.711834994627615,-117.8208730989574,60.09,3.3663871,295.46173,16.424961119751167,16.442457231726284
1474114060.9997663,0.0074245171320509095,-0.3420598951488875,7.6878752159664465,14.274105499172656,0.09813684894823546,0.09842881785117635,32.711877869453176,-117.82077854183086,59.99,3.3360777,292.95566,16.483281493001556,16.438569206842924
1474114061.9997654,0.007422647678358418,-0.34206504352706507,7.763670910943538,14.273725438451693,0.09823752738083504,0.098528446192226,32.711906457294134,-117.82071562296892,59.96,3.4334362,291.551,16.481337480559876,16.45412130637636
1474114062.9997644,0.0074239726900629036,-0.342079803553369,7.948404522743048,14.268424981860315,0.09831773989122726,0.09860844868430825,32.711942831412415,-117.82063699149825,59.95,3.53959,289.9256,16.261664074650078,16.380248833592535
1474114063.9997635,0.007425106839642639,-0.3420977890915844,8.078489110777575,14.246653064413353,0.09834100122956059,0.09863270942011666,32.71198003241412,-117.82055877193767,59.99,3.8366601,287.0335,16.34720062208398,16.36080870917574
1474114064.9997625,0.007426099087863402,-0.34211771534816937,8.19738693593264,14.23409993689316,0.09828657751923216,0.09857959651372296,32.71201770867781,-117.82048083825859,60.08,3.9346364,287.76633,16.489113530326595,16.273328149300156
1474114065.9997616,0.007426978680751434,-0.3421400803716929,8.302315212148901,14.221741474620291,0.09817846154165491,0.09847255959573838,32.7120560657677,-117.82040301288575,60.16,3.6915271,286.39893,16.318040435458787,16.275272161741835
1474114066.9997606,0.007427760379502634,-0.3421628475111511,8.305601346919177,14.19407676204367,0.09808303356680492,0.09837661743812948,32.71209445614872,-117.820325390491,60.24,3.7351644,283.68744,16.368584758942458,16.34720062208398
1474114067.9997597,0.00742850926069749,-0.34218507133993165,8.227976262105939,14.189482662206862,0.09799064723644435,0.09828263062340661,32.71213266318244,-117.82024774526505,60.28,3.6406699999999996,279.23584,16.378304821150856,16.40163297045101
1474114068.9997587,0.0074293181435041555,-0.34220493618263187,8.111274446336145,14.200782516325244,0.0978983116001586,0.09818912178138924,32.71217022466392,-117.8201697937248,60.28,3.7886572,276.42285,16.40357698289269,16.277216174183515
1474114069.9997578,0.007430111016632151,-0.3422236753593826,7.9809330855706255,14.196486903200995,0.09783443706588094,0.09812479100043815,32.71220743621811,-117.82009179010049,60.27,3.4000220000000003,277.69818,16.24805598755832,16.277216174183515
